app_name,app_version,app_store,app_category,security_score,security_avg_cvss,code_high,code_good,code_info,code_warning,manifest_high,manifest_medium,manifest_info,privacy_trackers_found,privacy_url,privacy_url_correct,privacy_prominantTracking,privacy_completeTracking,privacy_DPIA,privacy_cookies,privacy_privacyScore
"ACR","5.0.6","NHS Apps Library","Diabetes",10,6,5,1,1,2,1,,,2,"https://healthy.io/docs/acr-eu/modality/privacy/",1,0,0,0,0,1
"Airmid UK","1511","Play","PHR",35,6,4,1,3,1,6,,1,2,"https://systmonline.tpp-uk.com/Clinical/AiHealth/Gbr/PrivacyPolicy.html",1,1,0,0,1,3
"BabyBuddy","2.13","NHS Apps Library","Child health",10,6.5,7,,1,2,14,1,,9,"https://www.bestbeginnings.org.uk/privacy-policy",1,0,0,0,1,2
"Baby & Child First Aid","2.6.0","NHS Apps Library","Child health",10,6.3,4,,1,3,7,1,,3,"http://www.redcross.org.uk/en/Header-Footer-Links/Privacy-policy",1,0,0,0,1,2
"Babylon","4.21.1.39418000","Play","NHS Services",10,6,7,1,3,3,18,,1,9,"http://www.babylonhealth.com/privacy",0,1,1,0,1,3
"Becca","1.29.02","NHS Apps Library","COVID",5,6,5,,1,2,7,1,,4,"https://breastcancernow.org/privacy-policy",1,1,0,0,1,3
"Brush DJ","4.0.11","NHS Apps Library","Dental",60,5.7,2,,1,1,1,1,,1,"http://www.brushdj.com/privacy-policy",1,0,0,0,0,1
"Calm Harm","4.3.0","NHS Apps Library","Mental Health",60,5.8,2,,2,1,2,1,,3,"https://calmharm.org/tncs",1,0,0,0,0,1
"Catch It","2.5","NHS Apps Library","Mental Health",100,7.5,,,1,,,1,,0,"http://liv.ac.uk/legal",0,0,1,0,1,2
"Changing Health","1.6.5","NHS Apps Library","Diabetes",45,5.7,3,,1,1,1,1,,1,"http://www.changinghealth.co.uk/privacy-policy/",0,0,0,0,1,1
"Companion","2.0","NHS Apps Library","Mental Health",60,5.7,2,,1,1,14,,,2,"http://companionapproach.com/ts-cs",0,1,0,0,1,2
"ConsultantConnect","2.3.2","NHS Apps Library","NHS Services",35,6.3,4,1,1,1,7,,1,2,"https://www.consultantconnect.org.uk/privacy-policy/",1,0,1,0,1,3
"Couch to 5k","7.3.1","Play",,30,6,4,,1,1,5,1,,6,"https://www.nhs.uk/oneyou/privacy-policy",1,1,0,0,1,3
"COVID Symptom Tracker","0.13","Play","COVID",40,5.5,3,1,2,2,17,1,,10,"https://predict.study/covid-privacy-notice/",1,1,1,0,1,4
"distrACT","1.4","NHS Apps Library","Mental Health",100,7.5,,,1,,1,1,,0,"http://www.expertselfcare.com/the-small-print/privacy-policy/",1,,,0,1,2
"DoctorLink","1.26.1","Play","NHS Services",10,5.8,4,,1,3,,1,,2,"https://www.doctorlink.com/privacynotice/",1,0,0,0,1,2
"Echo","4.20.0","NHS Apps Library","NHS Services",25,5.7,4,1,2,2,10,,,8,"https://www.echo.co.uk/legal#privacy-policy",0,0,0,0,1,1
"EMIS Mobile","5.2","Play","PHR",50,6.1,3,1,2,1,2,,,3,"https://www.emishealth.com/legal/emis-mobile-privacy-policy/",1,1,0,0,1,3
"engage","1.1.23","NHS Apps Library","Body areas",75,4.9,1,,,1,,1,,0,"http://engageselfcare.com/privacy-cookie-policy/",1,1,1,0,1,4
"eQuoo","3.4.3","NHS Apps Library","Mental Health",10,6.2,6,,2,3,12,1,,9,"https://www.equoogame.com/disclaimer-tc/",1,1,0,0,1,3
"Evergreen","15.3.2","NHS Apps Library","NHS Services",55,6.9,3,,2,,8,1,,1,"https://www.evergreen-life.co.uk/terms/website-terms-of-use",0,1,0,0,1,2
"FeelingGood","1.5.6.1","NHS Apps Library","Mental Health",75,5.8,1,,1,1,2,1,,4,"http://www.positiverewards.com/app/feeling-good-app-privacy-policy",1,1,0,0,1,3
"First Aid","2.8.0","NHS Apps Library","First aid",25,6.5,3,,1,3,7,1,,3,"http://www.redcross.org.uk/en/Header-Footer-Links/Privacy-policy",1,1,0,0,1,3
"GDm-Health","19.1.34 (61)","NHS Apps Library","Diabetes",40,5.8,3,1,1,2,2,,1,3,"https://www.sensynehealth.com/policies/gdm-health-privacy-policy",1,0,0,0,1,2
"HCAnywhere","2.30","NHS Apps Library","NHS Services",60,5.2,2,,1,1,,,,0,"https://healthcareanywhere.co.uk/privacy-policy",1,0,1,0,1,3
"Healthera","5.8.1","NHS Apps Library","NHS Services",15,6.1,4,1,2,3,37,1,,7,"https://healthera.co.uk/cookies-privacy/",0,1,1,0,1,3
"HealthHelpNow","2.83","NHS Apps Library","NHS Services",10,6,6,,2,3,8,,,9,"http://kent.healthhelpnow.nhs.uk/privacy-policy/",1,1,0,0,1,3
"Health Passport","1.17.7","NHS Apps Library","Respiratory",35,5.8,3,,2,2,10,,,6,"https://www.tinymedicalapps.com/legal/",1,0,0,0,0,1
"Health","3.16","NHS Apps Library","NHS Services",5,6,5,,1,2,11,,1,9,"https://www.coop.co.uk/privacy-notice",1,0,0,0,1,2
"Hoop","8.6","NHS Apps Library","Child health",25,5.8,4,1,3,2,8,1,,8,"https://hoop.co.uk/privacy-policy",1,1,0,0,1,3
"Hospify","1.6.15","NHS Apps Library","NHS Services",10,6.1,5,,1,4,9,,,7,"https://www.hospify.com/privacy",1,0,0,0,1,2
"Howz","7.8.2","NHS Apps Library","COVID",65,5.8,2,1,1,1,6,,,1,"https://howz.com/pages/howz-privacy-policy",1,1,0,0,1,3
"IFDC","1.0","NHS Apps Library","Child health",25,5.7,4,1,1,2,2,1,,2,"https://ifdcapp.com/privacy.html",1,0,0,0,1,2
"Kicks Count","1.2.6","NHS Apps Library","Pregnancy and baby",85,6.7,1,,1,,1,1,,5,"http://www.kickscount.org.uk/privacy-policy/",1,0,0,0,1,2
"Liva UK","3.20.1","NHS Apps Library","Diabetes",5,5.5,5,,3,2,4,,1,3,"https://www.livahealthcare.com/privacy.html",1,0,0,0,1,2
"Low Carb","3.9.8","NHS Apps Library","Diabetes",10,5.7,6,1,1,2,8,,1,3,"https://www.lowcarbprogram.com/privacy/",1,0,0,0,1,2
"LymEx","18","NHS Apps Library","Body areas",10,5.9,7,1,1,2,23,2,,11,"https://www.lnni.org/content/privacy-and-cookies-policy",1,0,0,0,1,2
"Medloop","1.5.3","NHS Apps Library","NHS Services",10,6.3,7,1,1,2,8,,1,3,"https://medloop.co/privacy",1,1,0,0,1,3
"MeeTwo","1.5.0","NHS Apps Library","Body areas",65,5.8,2,1,1,1,4,,1,3,"https://www.meetwo.co.uk/privacy-policy",1,0,0,0,1,2
"Miiskin","1.58.0","NHS Apps Library","Cancer",15,6.2,5,,2,1,10,,,9,"http://miiskin.com/legals/#TERMS",1,0,0,0,1,2
"MyCognition HOME","1.9.6","NHS Apps Library","Memory and communication",10,6.1,5,,1,3,10,,,7,"http://www.mycognition.com/privacy-policy/",1,0,0,0,1,2
"myGP","7.1.7","NHS Apps Library","NHS Services",20,5.8,4,,1,2,11,1,1,5,"https://www.mygp.com/privacy-policy/",1,0,0,0,1,2
"MyHealthGuide","2.4.4","NHS Apps Library","Social Care",15,6.2,5,,1,1,3,1,1,6,"https://myhealthguideapp.com/privacy/",1,1,0,0,1,3
"MyHouseOfMemories","6.06","NHS Apps Library","Memory and communication",10,5.9,6,,1,2,3,1,,2,"http://www.liverpoolmuseums.org.uk/about/corporate/policies/data-protection-policy.aspx",0,1,0,0,1,2
"My Local Pharmacy","2.0.3","Play","Pharmacy",20,6.3,4,,1,2,6,1,,4,"http://securepharm.co.uk/content/documentation/rxs-mpa-customer-licence_final_6-january-2014_blms_v-1-4/",0,0,0,0,0,0
"my mhealth","1.8.8","NHS Apps Library","Diabetes",10,5.9,7,,1,2,5,,,2,"https://mymhealth.com/privacy",1,0,0,0,1,2
"MyPossibleSelf","1.16.53","NHS Apps Library","Mental Health",25,6.4,4,1,2,2,6,1,,3,"https://www.my-possible-self.com/privacy",1,1,0,0,1,3
"mySugr","3.73.1","NHS Apps Library","Diabetes",10,6.2,6,1,3,2,10,,,5,"https://legal.mysugr.com/documents/privacy_policy_eu/current.html",1,1,0,0,1,3
"NHS App","1.33.0","NHS Apps Library","NHS Services",10,5.9,7,,1,1,4,,1,1,"https://www.nhs.uk/using-the-nhs/nhs-services/the-nhs-app/privacy/",1,0,0,0,1,2
"NHS Friends and Family Test","1.0.3","Play","NHS Services",100,0,,,,,,1,,0,"",0,0,1,0,1,2
"NHS Go","2.5","NHS Apps Library","NHS Services",10,6,5,1,2,2,21,1,,10,"https://nhsgo.uk/privacy",1,0,0,0,1,2
